task,profile,family,group,topology,mode,hidden,heads,head_dim,variant,base_rank,rank_multiplier,actual_M,unique_depth,executed_depth,total_parameters,trainable_parameters,backbone_parameters,router_parameters,batch_size,epochs,lr,mlp_ratio,unified_pos,ref,matrix_macs_B1
airfoil,official_release,linearno_loop,base_depth8,p2_c2_r2_s2,sr_1_over_r,128,8,16,conv_temp,64,1,64,6,8,1332961,1332961,1332961,0,4,500,0.001,1,False,8,22720893312
airfoil,official_release,linearno_loop,base_depth8,p2_c2_r2_s2,rb_attnres,128,8,16,conv_temp,64,1,64,6,8,1335265,1335265,1332961,2304,4,500,0.001,1,False,8,22720893312
airfoil,official_release,linearno_loop,base_depth8,p2_c2_r2_s2,lb_attnres_1_over_r,128,8,16,conv_temp,64,1,64,6,8,1333473,1333473,1332961,512,4,500,0.001,1,False,8,22720893312
airfoil,official_release,linearno,base_depth8,independent_L8,native_residual,128,8,16,conv_temp,64,2,128,8,8,1782273,1782273,1782273,0,4,500,0.001,1,False,8,25675518336
airfoil,official_release,linearno_loop,base_depth8,p1_c3_r2_s1,sr_1_over_r,128,8,16,conv_temp,64,2,128,5,8,1126737,1126737,1126737,0,4,500,0.001,1,False,8,25675518336
airfoil,official_release,linearno_loop,base_depth8,p1_c3_r2_s1,rb_attnres,128,8,16,conv_temp,64,2,128,5,8,1130065,1130065,1126737,3328,4,500,0.001,1,False,8,25675518336
airfoil,official_release,linearno_loop,base_depth8,p1_c3_r2_s1,lb_attnres_1_over_r,128,8,16,conv_temp,64,2,128,5,8,1127249,1127249,1126737,512,4,500,0.001,1,False,8,25675518336
airfoil,official_release,linearno_loop,base_depth8,p2_c2_r2_s2,sr_1_over_r,128,8,16,conv_temp,64,2,128,6,8,1345249,1345249,1345249,0,4,500,0.001,1,False,8,25675518336
airfoil,official_release,linearno_loop,base_depth8,p2_c2_r2_s2,rb_attnres,128,8,16,conv_temp,64,2,128,6,8,1347553,1347553,1345249,2304,4,500,0.001,1,False,8,25675518336
airfoil,official_release,linearno_loop,base_depth8,p2_c2_r2_s2,lb_attnres_1_over_r,128,8,16,conv_temp,64,2,128,6,8,1345761,1345761,1345249,512,4,500,0.001,1,False,8,25675518336
airfoil,transolver_matched,linearno,base_depth8,independent_L8,native_residual,128,8,16,conv_temp,64,1,64,8,8,1765889,1765889,1765889,0,4,500,0.001,1,False,8,22720893312
airfoil,transolver_matched,linearno_loop,base_depth8,p1_c3_r2_s1,sr_1_over_r,128,8,16,conv_temp,64,1,64,5,8,1116497,1116497,1116497,0,4,500,0.001,1,False,8,22720893312
airfoil,transolver_matched,linearno_loop,base_depth8,p1_c3_r2_s1,rb_attnres,128,8,16,conv_temp,64,1,64,5,8,1119825,1119825,1116497,3328,4,500,0.001,1,False,8,22720893312
airfoil,transolver_matched,linearno_loop,base_depth8,p1_c3_r2_s1,lb_attnres_1_over_r,128,8,16,conv_temp,64,1,64,5,8,1117009,1117009,1116497,512,4,500,0.001,1,False,8,22720893312
airfoil,transolver_matched,linearno_loop,base_depth8,p2_c2_r2_s2,sr_1_over_r,128,8,16,conv_temp,64,1,64,6,8,1332961,1332961,1332961,0,4,500,0.001,1,False,8,22720893312
airfoil,transolver_matched,linearno_loop,base_depth8,p2_c2_r2_s2,rb_attnres,128,8,16,conv_temp,64,1,64,6,8,1335265,1335265,1332961,2304,4,500,0.001,1,False,8,22720893312
airfoil,transolver_matched,linearno_loop,base_depth8,p2_c2_r2_s2,lb_attnres_1_over_r,128,8,16,conv_temp,64,1,64,6,8,1333473,1333473,1332961,512,4,500,0.001,1,False,8,22720893312
airfoil,transolver_matched,linearno,base_depth8,independent_L8,native_residual,128,8,16,conv_temp,64,2,128,8,8,1782273,1782273,1782273,0,4,500,0.001,1,False,8,25675518336
airfoil,transolver_matched,linearno_loop,base_depth8,p1_c3_r2_s1,sr_1_over_r,128,8,16,conv_temp,64,2,128,5,8,1126737,1126737,1126737,0,4,500,0.001,1,False,8,25675518336
airfoil,transolver_matched,linearno_loop,base_depth8,p1_c3_r2_s1,rb_attnres,128,8,16,conv_temp,64,2,128,5,8,1130065,1130065,1126737,3328,4,500,0.001,1,False,8,25675518336
airfoil,transolver_matched,linearno_loop,base_depth8,p1_c3_r2_s1,lb_attnres_1_over_r,128,8,16,conv_temp,64,2,128,5,8,1127249,1127249,1126737,512,4,500,0.001,1,False,8,25675518336
airfoil,transolver_matched,linearno_loop,base_depth8,p2_c2_r2_s2,sr_1_over_r,128,8,16,conv_temp,64,2,128,6,8,1345249,1345249,1345249,0,4,500,0.001,1,False,8,25675518336
airfoil,transolver_matched,linearno_loop,base_depth8,p2_c2_r2_s2,rb_attnres,128,8,16,conv_temp,64,2,128,6,8,1347553,1347553,1345249,2304,4,500,0.001,1,False,8,25675518336
airfoil,transolver_matched,linearno_loop,base_depth8,p2_c2_r2_s2,lb_attnres_1_over_r,128,8,16,conv_temp,64,2,128,6,8,1345761,1345761,1345249,512,4,500,0.001,1,False,8,25675518336
airfoil,transolver_original,transolver,base_depth8,independent_L8,native_residual,128,8,16,Physics_Attention_Structured_Mesh_2D,64,1,64,8,8,2810817,2810817,2810817,0,4,500,0.001,1,False,8,33627607424
airfoil,transolver_original,transolver,base_depth8,independent_L8,native_residual,128,8,16,Physics_Attention_Structured_Mesh_2D,64,2,128,8,8,2819521,2819521,2819521,0,4,500,0.001,1,False,8,35871887744
airfoil,transolver_original,transolver,depth_extension,independent_L16,native_residual,128,8,16,Physics_Attention_Structured_Mesh_2D,64,1,64,16,16,5587457,5587457,5587457,0,4,500,0.001,1,False,8,66878673280
airfoil,transolver_original,transolver,depth_extension,independent_L16,native_residual,128,8,16,Physics_Attention_Structured_Mesh_2D,64,2,128,16,16,5604865,5604865,5604865,0,4,500,0.001,1,False,8,71367233920
